year,lag1_PDO,lag2_PDO,lag1_NPGO,lag2_NPGO,lag1_fall_Nino3.4,lag2_fall_Nino3.4,smolt_sock,lag1_log_socksmolt,lag2_log_socksmolt,pink_ind
1961,0.56313940421211806,NA,0.8064937503686992,NA,-0.141218468495908,NA,NA,NA,NA,0.9771277064839351
1962,-0.10938601549270342,0.5466244858736864,1.0909022109274886,0.7952229236897213,-0.37621218411824686,-0.141218468495908,NA,NA,NA,-1.007662947311558
1963,-0.8075942927349317,-0.15109807338033945,-0.4823826804232335,1.0871818695819107,-0.3947643195621157,-0.37621218411824686,NA,NA,NA,0.9771277064839351
1964,0.05790785494858656,-0.8754657356519154,-0.4948903148838215,-0.5278706417406787,0.8080324617153819,-0.3947643195621157,NA,NA,NA,-1.007662947311558
1965,-0.49635460415908517,0.02246370437824696,0.28158807597599167,-0.5407103292997034,-0.988432653765919,0.8080324617153819,NA,NA,NA,0.9771277064839351
1966,0.29818976716614315,-0.552565001059788,-0.8475910997065945,0.25638203587849,1.414068886215098,-0.988432653765919,NA,NA,NA,-1.007662947311558
1967,0.015576820983769828,0.2717481266807797,-1.292683340202031,-0.9027746263669811,-0.2185190328453616,1.414068886215098,NA,NA,NA,0.9771277064839351
1968,-0.3559617505059881,-0.021453323124987617,-0.7804979879636614,-1.3596831905655455,-0.33910791323050915,-0.2185190328453616,NA,NA,NA,-1.007662947311558
1969,0.3432616594452285,-0.4069121256713627,-1.0147557513052652,-0.8339003244471038,0.5606706557971304,-0.33910791323050915,NA,NA,NA,0.9771277064839351
1970,0.21271559306931906,0.3185087027273891,-0.069502484589434907,-1.074377170733254,0.637971220146584,0.5606706557971304,NA,NA,NA,-1.007662947311558
1971,0.069784907643750907,0.1830715387725699,0.16709212393365974,-0.10402928864394417,-0.8152793896231432,0.637971220146584,NA,NA,NA,0.9771277064839351
1972,-0.9711321721529645,0.03478574806620481,0.6461238205984826,0.13884644146781663,-0.7874511864573398,-0.8152793896231432,NA,NA,NA,-1.007662947311558
1973,-0.7074006943577756,-1.045130798739951,-0.578552261868228,0.6305954876545036,1.7943876628144095,-0.7874511864573398,NA,NA,NA,0.9771277064839351
1974,-0.5791894332125395,-0.7715182388996552,0.1413682145592146,-0.6265933364537979,-1.810910658444105,1.7943876628144095,NA,NA,NA,-1.007662947311558
1975,0.12247029524024941,-0.6385033570373405,-0.015440607438343556,0.11243961288601792,-0.8029112993272306,-1.810910658444105,NA,NA,NA,0.9771277064839351
1976,-0.9359070671510666,0.08944507006663344,0.6533373385716292,-0.04853217496816088,-1.421315814122859,-0.8029112993272306,NA,NA,NA,-1.007662947311558
1977,0.22459264576448346,-1.0085859341269476,2.0873633176288817,0.6380005103443223,0.7276398747919501,-1.421315814122859,NA,NA,NA,0.9771277064839351
